N,EstimatedAreaWide,EstimatedAreaNarrow
100,0.63,0.78
600,1.065,0.788333
1100,1.03909,0.795455
1600,0.9675,0.79125
2100,0.96,0.790476
2600,0.99,0.789231
3100,0.949355,0.792258
3600,0.96,0.792222
4100,0.941707,0.790732
4600,0.927391,0.787826
5100,0.942353,0.787647
5600,0.948214,0.787857
6100,0.938361,0.785902
6600,0.951818,0.786364
7100,0.953239,0.787606
7600,0.948553,0.787368
8100,0.957778,0.787531
8600,0.956512,0.787907
9100,0.958352,0.786703
9600,0.94875,0.787083
10100,0.949901,0.786931
10600,0.950094,0.786226
11100,0.951892,0.785946
11600,0.951983,0.787672
12100,0.953554,0.786612
12600,0.945714,0.786587
13100,0.944656,0.78542
13600,0.938382,0.786324
14100,0.935106,0.784823
14600,0.938836,0.785411
15100,0.939338,0.785364
15600,0.938077,0.785705
16100,0.936894,0.786149
16600,0.94012,0.785843
17100,0.938947,0.78614
17600,0.939886,0.786307
18100,0.940276,0.786575
18600,0.943548,0.786613
19100,0.937696,0.786073
19600,0.934439,0.78602
20100,0.938955,0.78597
20600,0.936262,0.785874
21100,0.934976,0.785308
21600,0.938333,0.78463
22100,0.939502,0.784661
22600,0.938628,0.784469
23100,0.937792,0.784416
23600,0.944237,0.784322
24100,0.945187,0.784689
24600,0.946829,0.784878
25100,0.950199,0.785219
25600,0.950273,0.785195
26100,0.953793,0.785057
26600,0.952782,0.785188
27100,0.951144,0.785387
27600,0.951196,0.78471
28100,0.949324,0.784591
28600,0.945315,0.784196
29100,0.946392,0.784055
29600,0.948345,0.784493
30100,0.948439,0.784452
30600,0.950882,0.784248
31100,0.951801,0.784116
31600,0.950981,0.783544
32100,0.951589,0.783427
32600,0.95273,0.783098
33100,0.953021,0.783263
33600,0.955714,0.783393
34100,0.954897,0.783548
34600,0.956965,0.783671
35100,0.954359,0.783447
35600,0.95309,0.783567
36100,0.954848,0.783657
36600,0.956311,0.783634
37100,0.95628,0.783935
37600,0.958644,0.784282
38100,0.956457,0.784462
38600,0.954793,0.784948
39100,0.953171,0.784604
39600,0.953864,0.78447
40100,0.953192,0.784514
40600,0.951429,0.784384
41100,0.950365,0.784769
41600,0.949543,0.784832
42100,0.950238,0.784893
42600,0.948592,0.785117
43100,0.949698,0.785197
43600,0.948716,0.784885
44100,0.948163,0.784966
44600,0.950247,0.785314
45100,0.94929,0.784878
45600,0.947961,0.785132
46100,0.94705,0.784837
46600,0.947124,0.785193
47100,0.948535,0.785223
47600,0.949916,0.785084
48100,0.949771,0.785031
48600,0.952222,0.785103
49100,0.95444,0.785316
49600,0.954617,0.784919
50100,0.955868,0.78509
50600,0.95834,0.785217
51100,0.957593,0.785362
51600,0.957907,0.785426
52100,0.957179,0.785566
52600,0.958517,0.785627
53100,0.960847,0.785518
53600,0.961119,0.785541
54100,0.959556,0.78536
54600,0.960824,0.785201
55100,0.960436,0.785372
55600,0.960863,0.785486
56100,0.958717,0.785241
56600,0.957721,0.785424
57100,0.958161,0.785412
57600,0.958594,0.78526
58100,0.958244,0.78537
58600,0.957901,0.7857
59100,0.958782,0.785635
59600,0.957534,0.785638
60100,0.955707,0.785657
60600,0.956139,0.785693
61100,0.954795,0.785565
61600,0.953766,0.785617
62100,0.953913,0.785894
62600,0.955208,0.785958
63100,0.954057,0.786022
63600,0.953915,0.786038
64100,0.954197,0.785928
64600,0.95531,0.785805
65100,0.957235,0.785791
65600,0.95872,0.785808
66100,0.960045,0.7859
66600,0.959054,0.785856
67100,0.958346,0.785753
67600,0.958713,0.786036
68100,0.958811,0.785888
68600,0.959038,0.786064
69100,0.959913,0.786223
69600,0.960647,0.78625
70100,0.960214,0.786448
70600,0.95915,0.786317
71100,0.958481,0.786245
71600,0.958953,0.786341
72100,0.958294,0.786255
72600,0.957149,0.786488
73100,0.955896,0.786238
73600,0.956005,0.786304
74100,0.955749,0.786491
74600,0.954893,0.786367
75100,0.954887,0.786418
75600,0.955714,0.786336
76100,0.956649,0.786229
76600,0.955692,0.786031
77100,0.955798,0.786005
77600,0.955206,0.785992
78100,0.954507,0.785928
78600,0.953015,0.785802
79100,0.952794,0.785575
79600,0.951897,0.785377
80100,0.953034,0.785543
80600,0.952593,0.78567
81100,0.953268,0.785549
81600,0.952941,0.785613
82100,0.952071,0.785518
82600,0.952736,0.785496
83100,0.951769,0.785331
83600,0.951998,0.785395
84100,0.952759,0.785172
84600,0.95234,0.785024
85100,0.951716,0.784982
85600,0.951414,0.784942
86100,0.952056,0.785122
86600,0.951028,0.784931
87100,0.951148,0.784845
87600,0.951267,0.784863
88100,0.951691,0.784983
88600,0.951603,0.784955
89100,0.951212,0.784905
89600,0.950424,0.784978
90100,0.950644,0.784983
90600,0.95106,0.784901
91100,0.950878,0.78494
91600,0.950993,0.785098
92100,0.951303,0.785147
92600,0.950637,0.785205
93100,0.951042,0.785134
93600,0.949712,0.785075
94100,0.94983,0.785207
94600,0.950613,0.785328
95100,0.950442,0.785363
95600,0.949801,0.785377
96100,0.949917,0.785546
96600,0.949938,0.785476
97100,0.950144,0.785644
97600,0.949887,0.785533
98100,0.950734,0.785586
98600,0.951207,0.785446
99100,0.951403,0.78553
99600,0.950783,0.785643
