N,RelativeErrorWide(%),RelativeErrorNarrow(%)
100,33.2993,17.4181
600,12.756,16.5358
1100,10.0129,15.7819
1600,2.43329,16.227
2100,1.63923,16.309
2600,4.81546,16.4408
3100,0.512183,16.1203
3600,1.63923,16.1241
4100,0.297493,16.2819
4600,1.81319,16.5895
5100,0.229138,16.6085
5600,0.391427,16.5863
6100,0.651818,16.7933
6600,0.772987,16.7444
7100,0.923461,16.6129
7600,0.42725,16.638
8100,1.40395,16.6208
8600,1.2699,16.581
9100,1.46471,16.7084
9600,0.448146,16.6682
10100,0.570006,16.6843
10600,0.590477,16.7589
11100,0.780791,16.7886
11600,0.790412,16.6058
12100,0.956736,16.7181
12600,0.126742,16.7207
13100,0.0147486,16.8443
13600,0.649521,16.7486
14100,0.996361,16.9075
14600,0.601532,16.8452
15100,0.548369,16.8502
15600,0.681858,16.8141
16100,0.807055,16.7671
16600,0.465498,16.7995
17100,0.5897,16.768
17600,0.490285,16.7504
18100,0.449006,16.722
18600,0.102571,16.718
19100,0.722152,16.7751
19600,1.06704,16.7807
20100,0.588868,16.786
20600,0.873997,16.7962
21100,1.01013,16.8561
21600,0.65471,16.928
22100,0.530951,16.9247
22600,0.623479,16.945
23100,0.712002,16.9506
23600,0.029634,16.9605
24100,0.0708866,16.9217
24600,0.24479,16.9017
25100,0.601579,16.8656
25600,0.609439,16.8681
26100,0.98208,16.8827
26600,0.875026,16.8689
27100,0.701599,16.8477
27600,0.707077,16.9194
28100,0.508901,16.9321
28600,0.0844346,16.9739
29100,0.198468,16.9888
29600,0.405224,16.9424
30100,0.41517,16.9468
30600,0.673907,16.9683
31100,0.77113,16.9824
31600,0.684352,17.0429
32100,0.7487,17.0553
32600,0.869532,17.0901
33100,0.90035,17.0727
33600,1.18548,17.0589
34100,1.09899,17.0424
34600,1.31794,17.0295
35100,1.04199,17.0531
35600,0.907628,17.0404
36100,1.09373,17.031
36600,1.24871,17.0334
37100,1.24541,17.0015
37600,1.49562,16.9648
38100,1.26409,16.9457
38600,1.08792,16.8942
39100,0.916253,16.9307
39600,0.989548,16.9449
40100,0.918441,16.9402
40600,0.731737,16.9539
41100,0.619129,16.9132
41600,0.532133,16.9066
42100,0.605637,16.9001
42600,0.43137,16.8763
43100,0.548554,16.8679
43600,0.444503,16.9009
44100,0.386026,16.8924
44600,0.606601,16.8555
45100,0.505367,16.9017
45600,0.364561,16.8748
46100,0.268148,16.906
46600,0.276043,16.8683
47100,0.425386,16.8652
47600,0.571592,16.8799
48100,0.556276,16.8855
48600,0.815765,16.8779
49100,1.05056,16.8553
49600,1.0693,16.8973
50100,1.20179,16.8792
50600,1.46347,16.8657
51100,1.38439,16.8504
51600,1.41763,16.8436
52100,1.34051,16.8288
52600,1.48223,16.8223
53100,1.72895,16.8339
53600,1.75775,16.8315
54100,1.59226,16.8506
54600,1.72649,16.8674
55100,1.68535,16.8494
55600,1.73063,16.8373
56100,1.50335,16.8633
56600,1.39793,16.8439
57100,1.44454,16.8452
57600,1.49034,16.8612
58100,1.45336,16.8496
58600,1.417,16.8147
59100,1.51025,16.8216
59600,1.3781,16.8213
60100,1.18473,16.8192
60600,1.23041,16.8154
61100,1.0882,16.829
61600,0.979236,16.8234
62100,0.994779,16.7941
62600,1.13185,16.7873
63100,1.01003,16.7805
63600,0.994996,16.7789
64100,1.0248,16.7905
64600,1.14264,16.8035
65100,1.34649,16.805
65600,1.50366,16.8032
66100,1.64404,16.7935
66600,1.53908,16.7981
67100,1.46409,16.8091
67600,1.50297,16.7791
68100,1.5133,16.7947
68600,1.53737,16.7761
69100,1.63004,16.7593
69600,1.70768,16.7564
70100,1.66189,16.7355
70600,1.54925,16.7493
71100,1.47841,16.757
71600,1.52833,16.7468
72100,1.45861,16.7559
72600,1.33736,16.7313
73100,1.20473,16.7577
73600,1.21631,16.7507
74100,1.18916,16.7309
74600,1.09851,16.744
75100,1.09788,16.7386
75600,1.18548,16.7473
76100,1.28446,16.7587
76600,1.18311,16.7796
77100,1.19431,16.7823
77600,1.13169,16.7837
78100,1.05767,16.7905
78600,0.899728,16.8039
79100,0.876294,16.8279
79600,0.78133,16.8489
80100,0.90168,16.8313
80600,0.855026,16.8178
81100,0.92644,16.8307
81600,0.891883,16.8239
82100,0.799716,16.8339
82600,0.870169,16.8362
83100,0.767775,16.8537
83600,0.791984,16.847
84100,0.872555,16.8705
84600,0.828279,16.8863
85100,0.762129,16.8906
85600,0.730147,16.8949
86100,0.798139,16.8758
86600,0.689297,16.8961
87100,0.702043,16.9052
87600,0.714644,16.9033
88100,0.759549,16.8906
88600,0.750174,16.8935
89100,0.708821,16.8989
89600,0.625391,16.8911
90100,0.648643,16.8905
90600,0.692673,16.8993
91100,0.673463,16.8951
91600,0.685669,16.8784
92100,0.718435,16.8732
92600,0.647946,16.867
93100,0.690798,16.8745
93600,0.549948,16.8808
94100,0.562487,16.8668
94600,0.645401,16.8541
95100,0.627247,16.8503
95600,0.559447,16.8489
96100,0.571675,16.8309
96600,0.573913,16.8383
97100,0.595754,16.8206
97600,0.568556,16.8323
98100,0.658194,16.8267
98600,0.708268,16.8415
99100,0.72899,16.8327
99600,0.663402,16.8207
